policy,budget,verification_cost,consequential_errors_caught,errors_caught,false_rejections
never,0.03,0.0,0,0,0
never,0.06,0.0,0,0,0
never,0.12,0.0,0,0,0
never,0.24,0.0,0,0,0
always,0.03,0.03,0,0,0
always,0.06,0.06,0,0,0
always,0.12,0.12,0,0,0
always,0.24,0.24,0,2,0
confidence,0.03,0.0,0,0,0
confidence,0.06,0.0,0,0,0
confidence,0.12,0.0,0,0,0
confidence,0.24,0.0,0,0,0
risk,0.03,0.0,0,0,0
risk,0.06,0.0,0,0,0
risk,0.12,0.0,0,0,0
risk,0.24,0.0,0,0,0
error_x_impact,0.03,0.0,0,0,0
error_x_impact,0.06,0.0,0,0,0
error_x_impact,0.12,0.0,0,0,0
error_x_impact,0.24,0.0,0,0,0
mutation_only,0.03,0.03,0,0,0
mutation_only,0.06,0.06,0,0,0
mutation_only,0.12,0.12,0,0,0
mutation_only,0.24,0.24,0,0,0
random_budget_matched,0.03,0.03,0,0,0
random_budget_matched,0.06,0.06,0,1,0
random_budget_matched,0.12,0.12,0,1,0
random_budget_matched,0.24,0.24,0,3,0
bavar_style,0.03,0.03,0,0,0
bavar_style,0.06,0.06,0,0,0
bavar_style,0.12,0.12,0,0,0
bavar_style,0.24,0.24,0,1,0
rc_vov_no_recovery,0.03,0.03,0,0,0
rc_vov_no_recovery,0.06,0.06,0,0,0
rc_vov_no_recovery,0.12,0.12,0,1,0
rc_vov_no_recovery,0.24,0.24,0,2,0
rc_vov,0.03,0.03,0,0,0
rc_vov,0.06,0.06,0,0,0
rc_vov,0.12,0.12,0,1,0
rc_vov,0.24,0.24,0,2,0
